單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
inner,內部的；內心的；（團體或組織的）核心的,3,中階,一般專業,adjective,"adjective: inner, innermost","internal audit 內部審計
internal memo 內部通知","The inner workings of the machine are complex.
這台機器的內部運作很複雜。"
innocent,無辜的；清白的；天真的；無害的,3,中階,法務合規與安全,"adjective, noun, adverb","adjective: innocent, more innocent, most innocent
noun: innocent, innocents, innocence
adverb: innocently","be found innocent of 被判定無罪
prove someone innocent 證明某人清白","The jury found the defendant innocent after reviewing all the evidence.
陪審團在審閱所有證據後，裁定被告無罪。"
innovate,創新；引入新方法或想法,4,中階,營運管理,verb,"verb: innovate, innovates, innovating, innovated",,"To stay competitive, companies must constantly innovate their products and services.
為了保持競爭力，公司必須不斷創新其產品和服務。"
innovating,創新；開創先河；引入新方法或想法,4,中階,營運管理,"verb, adjective","verb: innovating, innovates, innovated
adjective: innovating, more innovative, most innovative","constantly innovating 持續創新
innovating solutions 創新解決方案","Our company is constantly innovating to stay ahead of the competition.
我們公司不斷創新，以保持競爭優勢。"
innovation,創新；新方法或想法，通常用於改善產品、服務或流程。,4,中階,營運管理,noun,"noun: innovation, innovations","foster innovation 培養創新
encourage innovation 鼓勵創新","Our company is committed to continuous innovation to stay ahead of the competition.
我們公司致力於持續創新，以保持競爭優勢。"
innovative,創新的；具有開創性的，能帶來新方法或想法的。,4,中階,行銷與銷售,adjective,"adjective: innovative, more innovative, most innovative",,"Our company is committed to developing innovative products to meet evolving customer needs.
我們公司致力於開發創新的產品，以滿足不斷變化的客戶需求。"
input,輸入；數據或資訊的提供,4,基礎,科技與技術支援,"noun, verb","noun: input, inputs
verb: input, inputs, inputting, inputted","provide input 提供意見
seek input 徵求意見","The system requires accurate data input to ensure reliable results.
為了確保可靠的結果，系統需要精確的數據輸入。"
inquire,查閱；詢問（資訊、意見等）,4,中階,溝通互動,verb,"verb: inquire, inquires, inquiring, inquired","inquire about the status of an order 詢問訂單狀態
inquire 詢問","Could you inquire about the status of the shipment with the logistics department?
您可以向物流部門詢問貨運的狀態嗎？"
inquiries,詢問、提問（通常指正式的、書面的詢問）,4,中階,客戶服務,noun,noun: inquiries,make an inquiry 進行詢問,"We received several inquiries regarding the new product's features.
我們收到了一些關於新產品功能的詢問。"
inquiry,詢問；查詢（通常指正式的提問或要求資訊）,5,基礎,客戶服務,noun,"noun: inquiry, inquiries","make an inquiry 進行詢問
receive an inquiry 收到查詢","We received an inquiry regarding the product's warranty.
我們收到了一份關於產品保固的詢問。"
inscribe,（在某物上）刻字、題字、記錄,2,進階,辦公日常,verb,"verb: inscribe, inscribes, inscribing, inscribed",,"The company decided to inscribe the employee's name on a plaque to commemorate their outstanding contribution.
公司決定在獎牌上題寫員工的名字，以表彰他們卓越的貢獻。"
insect,昆蟲,1,基礎,一般專業,noun,"noun: insect, insects","insect repellent 驅蟲劑
pest control 害蟲防治","The garden is full of various insects.
花園裡充滿了各種昆蟲。"
insecure,缺乏安全感；不自信，易受影響,3,中階,人力資源,adjective,"adjective: insecure, less insecure, least insecure",insecure network 不安全的網路,"The new employee felt insecure about presenting the project to the executive team.
這位新進員工在向高層團隊簡報專案時感到缺乏安全感。"
insecurely,不穩固地；不安全地（指狀態或方式），通常暗示缺乏保障或可能導致問題。,2,進階,營運管理,adverb,adverb: insecurely,,"The shipment was secured to the truck, but it was still transported insecurely due to the rough road conditions.
貨物已固定在卡車上，但由於路況顛簸，仍不安全地運送。"
insert,插入；嵌入；(資料)輸入,4,基礎,辦公日常,verb,"verb: insert, inserts, inserting, inserted",,"Please insert the USB drive into the computer to transfer the files.
請將 USB 隨身碟插入電腦以傳輸檔案。"
inside,在...內部；在...裡面,5,入門,辦公日常,"preposition, adverb",,inside the envelope 在信封內,"Please leave the report inside the designated folder.
請將報告放在指定的資料夾裡。"
insider,內部人士；知情者；內部消息,3,進階,一般專業,noun,noun: insiders,"insider trading 內線交易
insider information 內部消息","The CEO was accused of insider trading after selling a large number of shares before the bad news was announced.
執行長被指控在壞消息公布前出售大量股票，涉嫌內部交易。"
insight,洞察力；深刻的理解或見解，尤其是在商業或分析情境中。,4,中階,營運管理,noun,"noun: insight, insights",,"The market research provided valuable insights into consumer behavior.
市場調查提供了關於消費者行為的寶貴洞察。"
insights,洞察力；深刻見解（通常指透過分析數據或觀察得出的結論，用於改善決策或策略）,4,中階,營運管理,noun,noun: insights,,"The market research provided valuable insights into consumer behavior.
市場調查提供了關於消費者行為的寶貴洞察。"
insist,堅持、堅決要求,4,中階,溝通互動,verb,"verb: insist, insists, insisting, insisted",,"The supplier insists on receiving payment within 30 days.
供應商堅持要求在 30 天內收到付款。"
insistent,堅持不懈的；持續要求的,3,進階,溝通互動,adjective,"adjective: insistent, more insistent, most insistent",,"The client was insistent on seeing the project manager directly.
客戶堅持要直接見項目經理。"
insists,堅持；主張（某事），強烈要求,4,中階,溝通互動,verb,"verb: insists, insisting, insisted",,"The supplier insists on receiving payment within 30 days of the invoice date.
供應商堅持在發票日期後的 30 天內收到付款。"
insolvent,無力清償債務的；資不抵債的,2,進階,金融與會計,adjective,"adjective: insolvent, more insolvent, most insolvent","be declared insolvent 被宣告無力償債
become insolvent 陷入無力償債狀態","The company declared bankruptcy after becoming insolvent due to declining sales.
由於銷售額下降，該公司無力清償債務，最終宣布破產。"
insomnia,失眠症；無法入睡或維持睡眠的狀態，影響工作效率和健康。,2,進階,人力資源,noun,"noun: insomnia, insomnias",,"The employee's insomnia has significantly impacted his productivity and attendance.
這位員工的失眠症嚴重影響了他的工作效率和出勤率。"
inspect,仔細檢查；檢驗；審查,4,中階,採購與物流,verb,"verb: inspect, inspects, inspecting, inspected",inspect the facility 視察設施,"The quality control department will inspect all incoming shipments before they are stored.
品質管制部門會在將貨物存儲之前，仔細檢查所有進貨貨物。"
inspection,檢查；檢驗；審查（通常指對產品、流程或文件進行系統性的檢查以確保符合標準或規範）,5,基礎,採購與物流,"noun, verb","noun: inspection, inspections
verb: inspection, inspects, inspecting, inspected","conduct an inspection 進行檢查
routine inspection 例行檢查","The quality control department conducts a thorough inspection of all incoming materials.
品質管制部門對所有進貨材料進行徹底的檢查。"
